name,artist,artist_followers,artist_genres,artist_popularity,song_popularity,album,release_date,duration_ms
Haydi Sil Gözlerini (Boşver Arkadaş),İlhan İrem,193824,"anatolian rock, turkish pop, arabesk",46,32,Dünden Yarına,1988,176093
Yolgeçen Hanı,İlhan İrem,193824,"anatolian rock, turkish pop, arabesk",46,32,Bezginin Gizli Mektupları,2000,165040
Sen Bilirsin,İlhan İrem,193824,"anatolian rock, turkish pop, arabesk",46,32,Işık ve Sevgiyle 30 Yıl,2004,213200
Ölmüş İçimde Hasret,İlhan İrem,193824,"anatolian rock, turkish pop, arabesk",46,24,Bezginin Gizli Mektupları,2000,191560
Bırak Kalsın Öylece,İlhan İrem,193824,"anatolian rock, turkish pop, arabesk",46,17,Bulutlara Köprü,2000,130293
İster İnan İster İnanma,İlhan İrem,193824,"anatolian rock, turkish pop, arabesk",46,12,Hayat Öpücüğü - The Best Of İlhan İrem 3,1998,236373
Bak Şu Aynaya,İlhan İrem,193824,"anatolian rock, turkish pop, arabesk",46,11,Düşler Ve Ötesi,2000,183506
Hoşgeldin,İlhan İrem,193824,"anatolian rock, turkish pop, arabesk",46,15,Sevgililer Günü - The Best Of İlhan İrem 1,1995,147400
Sevgi Sevgiyle Çoğalır,İlhan İrem,193824,"anatolian rock, turkish pop, arabesk",46,16,Düşler Ve Ötesi,2000,238626
Hayatın Üçüncü Gözü,İlhan İrem,193824,"anatolian rock, turkish pop, arabesk",46,18,İlhan-ı Aşk,1992,380933
"Yurtta Barış, Dünyada Barış",İlhan İrem,193824,"anatolian rock, turkish pop, arabesk",46,19,Dünden Yarına,1988,178440
Çöpçüler,Erkin Koray,811083,"anatolian rock, arabesk",53,56,"Çöpçüler / Ceylan / Dünden Esintiler, Vol.2",1993-07-27,239266
Gül Pembe,Barış Manço,3052229,"anatolian rock, turkish pop, arabesk",63,0,"Mançoloji, Vol. 1",1999-02-23,308349
Dağlar Dağlar - V1,Barış Manço,3052229,"anatolian rock, turkish pop, arabesk",63,0,7'den Sonsuza Barış Manço Set,2014-02-01,336133
Gibi Gibi - V2,Barış Manço,3052229,"anatolian rock, turkish pop, arabesk",63,0,7'den Sonsuza Barış Manço Set,2014-02-01,236904
Ele Güne Karşı,MFÖ,1176742,"anatolian rock, turkish pop",53,57,Ele Güne Karşı Yapayalnız,2013-01-29,189367
Ceviz Ağacı,Cem Karaca,2015501,"anatolian rock, arabesk, turkish pop",57,0,Merhaba Gençler,1994-02-02,349160
Namus Belası,Cem Karaca,2015501,"anatolian rock, arabesk, turkish pop",57,0,En İyileriyle Cem Karaca,2017-05-31,264753
Deniz Üstü Köpürür,Cem Karaca,2015501,"anatolian rock, arabesk, turkish pop",57,0,2.2.1973 Ankara,2016-02-02,248506
Islak Islak,Barış Akarsu,994237,"anatolian rock, karadeniz folk, turkish pop",53,0,Islak Islak,2004-12-31,286484
Gözlerin - Yalancı Yarim,Barış Akarsu,994237,"anatolian rock, karadeniz folk, turkish pop",53,0,Düşmeden Bulutlarda Koşmam Gerek,2006-08-03,190640
Aynalı Kemer,Barış Manço,3052229,"anatolian rock, turkish pop, arabesk",63,0,Barış Manço Forever,2014-02-01,186240
Bu Son Olsun,Cem Karaca,2015501,"anatolian rock, arabesk, turkish pop",57,0,Bu Son Olsun,2015-03-04,166000
Tamirci Çırağı,Cem Karaca,2015501,"anatolian rock, arabesk, turkish pop",57,56,Ölümsüzler,2004,296560
İşte Geldik Gidiyoruz,Cem Karaca,2015501,"anatolian rock, arabesk, turkish pop",57,46,Merhaba Gençler,1987,367840
Uzun İnce Bir Yoldayım,Özdemir Erdoğan,247549,"anatolian rock, arabesk, turkish pop",52,40,Yorumcu,1989,221800
Gönül Ferman Dinlemiyor,Barış Manço,3052229,"anatolian rock, turkish pop, arabesk",63,54,Sahibinden İhtiyaçtan,1989-12-07,288106
Yiyin Efendiler,Cem Karaca,2015501,"anatolian rock, arabesk, turkish pop",57,36,Yiyin Efendiler,2017-01-05,271240
Leylim Ley,Haramiler,156220,anatolian rock,43,35,Kar Yağıyor Bugün Ankara'ya,2002-06-26,295533
Dönence,Barış Manço,3052229,"anatolian rock, turkish pop, arabesk",63,58,Hal Hal,1989-12-22,404768
Sen De Başını Alıp Gitme,Cem Karaca,2015501,"anatolian rock, arabesk, turkish pop",57,48,Nerde Kalmıştık,1992-10-21,275330
Geçti Dost Kervanı,Barış Manço,3052229,"anatolian rock, turkish pop, arabesk",63,30,Estağfurullah Ne Haddimize!,1983-04-09,257799
Üryan Geldim,Cem Karaca,2015501,"anatolian rock, arabesk, turkish pop",57,37,Anadolu Efsaneleri,2013-12-29,257666
Yeni Bir Gün Doğdu Merhaba,Barış Manço,3052229,"anatolian rock, turkish pop, arabesk",63,43,Sarı Çizmeli Mehmet Ağa,1993,123866
Gurbet,Özdemir Erdoğan,247549,"anatolian rock, arabesk, turkish pop",52,60,Yorumcu,1989,206506
Aç Kapıyı Gir İçeri,Özdemir Erdoğan,247549,"anatolian rock, arabesk, turkish pop",52,0,Hayatım Şarkılarda,2001-05-02,236400
Hal Hal,Barış Manço,3052229,"anatolian rock, turkish pop, arabesk",63,38,"Mançoloji, Vol. 1",1999-02-23,228362
Aya Bak Yıldıza Bak,Tpao Batman Orkestrası,4578,anatolian rock,17,31,Şeker Alalım,1968-01-01,142422
Haram Geceler,Cem Kısmet - Pilli Bebek,89822,anatolian rock,50,60,Behzat Ç. (Orijinal Dizi ve Film Müzikleri),2012-07-05,274080
Sevmek İstiyorum,Erkut Taçkın,20692,anatolian rock,29,41,En İyileriyle Erkut Taçkın,1975,171333
Mihrimah,Nur Yoldas,19607,"anatolian rock, turkish pop",42,42,Sultan-ı Yegah,1998-06-11,303640
Ben Kimim,Candan Erçetin,1324074,"turkish pop, oyun havasi, arabesk",56,53,Kırık Kalpler Durağında,2009-01-01,268236
Kader Bağladı Bizi,Handan Kara,17474,"arabesk, turkish pop, anatolian rock",32,30,Kader Bağladı Bizi / Gidip Te Dönmemek Var,1973-04-02,248081
Sen Aslı'dan Da Güzelsin,Cumhur,2603,"anatolian rock, turkish pop",17,34,Sen Aslı'dan Da Güzelsin,1981-04-13,177569
Yalnızlar Rıhtımı,Korkut Koray,1605,anatolian rock,8,20,Yalnızlar Rıhtımı (45'lik),1969,189074
Ankara Rüzgarı,Nesrin Sipahi,26600,"anatolian rock, arabesk",43,41,"Nesrin Sipahi, Vol. 1",2000-03-30,203102
Olmalı mı Olmamalı mı,Bülent Ortaçgil,244690,"anatolian rock, turkish pop",43,42,Benimle Oynar Mısın,1993-04-15,131400
Olacak O Kadar,Gündoğarken,21585,"anatolian rock, turkish pop",42,32,Ankara'dan Abim Geldi,1993-05-03,196115
Yemyeşil Bir Deniz,İlhan İrem,193824,"anatolian rock, turkish pop, arabesk",46,40,Bezginin Gizli Mektupları,2000,358173
Hasret,Tanju Okan,120751,"anatolian rock, turkish pop, arabesk",44,35,Bir Zamanlar (Best Of),1999-08-13,182373
Mazi Kalbimde Yaradir,Esin Engin,31833,"tango, anatolian rock, turkish pop",34,39,Tangolar,1990-01-01,175560
İstemem,Erkin Koray,811083,"anatolian rock, arabesk",53,25,Mesafeler,1974,203413
Helvacı,Mavi Işıklar,95199,anatolian rock,48,38,Mavi Işıklar - Türk Pop Tarihi,2002-01-01,166626
Sarıldım Boşluğa,Enes Bozyiğit,422,"anatolian rock, arabesk",21,20,Sarıldım Boşluğa,2023-08-25,201600
Dere Boyu Kavaklar,Eren Can Maşalacı,124,anatolian rock,12,1,Zaman Yolcusu,2024-12-20,188048
Beraber Olsak,Enes Bozyiğit,422,"anatolian rock, arabesk",21,19,Beraber Olsak,2023-06-20,173875
Hekimoğlu,Eren Can Maşalacı,124,anatolian rock,12,0,Zaman Yolcusu,2024-12-20,186144
Ay Karanlık,Cem Karaca,2015501,"anatolian rock, arabesk, turkish pop",57,32,Cem Karaca Koleksiyon,2015-01-01,185160
Çark-ı Felek,Cem Karaca,2015501,"anatolian rock, arabesk, turkish pop",57,21,Merhaba Gençler,1987,248266
Çaya Kaç Şeker,Moğollar,229734,"anatolian rock, oyun havasi",38,34,Umut Yolunu Bulur,2009-11-25,262293
Gündüzüm Seninle,Ferdi Özbeğen,274779,"arabesk, anatolian rock, turkish pop",61,62,Bir Sır Gibi,1986,243146
Bir Gülü Sevdim,Ferdi Özbeğen,274779,"arabesk, anatolian rock, turkish pop",61,60,Piyanist,1986,249066
Büklüm Büklüm,Ferdi Özbeğen,274779,"arabesk, anatolian rock, turkish pop",61,55,Mutluluklar,1980-07-09,360234
Affetmem Asla Seni,Ferdi Özbeğen,274779,"arabesk, anatolian rock, turkish pop",61,42,Seviyorum Delicesine,1986,261546
Bir Sevgi İstiyorum,Ferdi Özbeğen,274779,"arabesk, anatolian rock, turkish pop",61,44,Piyanist,1986,214866
Bir İlkbahar Sabahı,Ferdi Özbeğen,274779,"arabesk, anatolian rock, turkish pop",61,37,Sevdiğiniz Şarkılar (Orijinal Plak Kayıtları),1986,297568
Haykıracak Nefesim Kalmasa Bile,Ferdi Özbeğen,274779,"arabesk, anatolian rock, turkish pop",61,38,Nerelerdeydiniz?,2013-01-30,201998
Akşam Olur Gizli Gizli,Ferdi Özbeğen,274779,"arabesk, anatolian rock, turkish pop",61,32,Bir Sır Gibi,1986,213586
Kaç Yıl Geçti Aradan,Ferdi Özbeğen,274779,"arabesk, anatolian rock, turkish pop",61,30,Teşekkürler,1979-05-17,214415
Rüyalarda Buluşuruz,Ferdi Özbeğen,274779,"arabesk, anatolian rock, turkish pop",61,32,Yaktı Geçti,1989-12-08,297533
Bir Fırtına Tuttu Bizi,Eylem Aktaş,81623,"arabesk, karadeniz folk, turkish pop",51,42,Özlem,2018-04-12,228146
Ayrılık Kolyesi,Ferdi Özbeğen,274779,"arabesk, anatolian rock, turkish pop",61,23,Teşekkürler,1979-05-17,273265
İşte Bu Bizim Hikayemiz,Ferdi Özbeğen,274779,"arabesk, anatolian rock, turkish pop",61,36,Nice Yıllara,1980,325360
Seni Bana Yazmışlar,Oya & Bora,23708,turkish pop,40,35,Seni Bana Yazmışlar,1992-11-04,204133
Yarası Saklım,Sezen Aksu,13986198,"arabesk, turkish pop",74,27,Düş Bahçeleri,1996-07-14,303986
Kan Çiçekleri,Zülfü Livaneli,555492,"anatolian rock, arabesk, turkish pop",48,0,Gökyüzü Herkesindir,2008,257866
Beni Hatırla,Ceylan Ertem,611595,"turkish pop, arabesk",47,42,Duyuyor Musun?,2022-08-05,307939
Aşkın Kederi,Manuş Baba,1007512,"turkish pop, arabesk",57,47,Dönersen Islık Çal,2017-04-27,229960
Benzemez Kimse Sana,Müzeyyen Senar,287278,"arabesk, anatolian rock",47,2,Saklı Kayıtlar (1934 - 1996),2010-01-22,157146
Okul Yolunda,Ümit Besen,731704,"arabesk, turkish pop",53,38,Nostalji,1998-06-05,243093
Elbet Bir Gün Buluşacağız,Müzeyyen Senar,287278,"arabesk, anatolian rock",47,39,Son Aşkımı Canlandıran,1987,352427
Sevmeyeceğim,Yıldız Tilbe,3793187,"arabesk, turkish pop",68,45,Haberi Olsun (New version),2002-05-02,247186
Taht Kurmuşsun Kalbime,Esengül,21006,"arabesk, traditional folk",30,41,Beterin Beteri Var / Taht Kurmuşsun Kalbime,2005-07-16,227613
Gamzedeyim Deva Bulmam,Müzeyyen Senar,287278,"arabesk, anatolian rock",47,43,"Yayınlanmamış Şarkılar, Vol. 2",2012-04-16,197146
Herşey Seni Hatırlatıyor,Muazzez Abacı,101329,arabesk,41,43,Efendim,1992-06-03,345200
Bak Yeşil Yeşil,Emel Sayın,228262,"arabesk, turkish pop",46,43,Türk Film Müzikleri,2006,242677
Bulamazsın,Zeki Müren,831664,"arabesk, anatolian rock",52,40,Hayat Öpücüğü,1987,309293
Asiye,Kâzım Koyuncu,1170316,"karadeniz folk, arabesk, anatolian rock, oyun havasi",55,43,Hayde,2004-03-17,285960
Gurbette Sevgilim,Ferdi Özbeğen,274779,"arabesk, anatolian rock, turkish pop",61,56,Piyanist,1986,270386
Yolcu Yolunda Gerek,Nilüfer,1259419,"turkish pop, arabesk, anatolian rock",62,44,Esmer Günler,1989,232000
Boş Vere Boş Vere,Nil Burak,98785,"turkish pop, anatolian rock, arabesk",40,34,Boş Vere Boş Vere,1980-05-25,222983
Kurumuş Bir Dal Gibiyim,Ferdi Özbeğen,274779,"arabesk, anatolian rock, turkish pop",61,33,Şarkılarım,1991-04-05,251733
Geceler Düşman,Aşkın Nur Yengi,831637,"turkish pop, arabesk",57,41,Kara Çiçeğim,1994-12-12,332560
Gökyüzünde Yalnız Gezen Yıldızlar,Zeki Müren,831664,"arabesk, anatolian rock",52,37,Anılarım,1990-05-29,214426
Kalbe Dolan O İlk Bakış,Nesrin Sipahi,26600,"anatolian rock, arabesk",43,38,"Nesrin Sipahi, Vol. 2",2000-03-30,188813
Ne Çok Çektim Hasretini,Müzeyyen Senar,287278,"arabesk, anatolian rock",47,22,Ben Seni Unutmak Için Sevmedim,2006-11-02,170480
Yıldızların Altında,Nesrin Sipahi,26600,"anatolian rock, arabesk",43,39,Odeon Yılları (Türk Sanat Müziği Serisi),2006-12-09,194373
Nasıl Geçti Habersiz O Güzelim Yıllarım,Zeki Müren,831664,"arabesk, anatolian rock",52,36,"Zeki Müren Klasikleri, Vol. 6",1970-01-20,208074
Beklenen Şarkı,Zeki Müren,831664,"arabesk, anatolian rock",52,39,Hayat Öpücüğü,1987,202800
Aşk Yok Olmaktır,Yıldız Tilbe,3793187,"arabesk, turkish pop",68,70,Aşkperest,1996-08-02,280560
Kız Sen İstanbul'un Neresindensin,Emel Sayın,228262,"arabesk, turkish pop",46,38,Sizlerle (Sevgisiz Yaşayamam),2007-03-12,261600
Deli Eylül,Hüsnü Arkan,182869,turkish pop,46,37,Kanat Sesleri,2023-10-08,220671
İki Keklik - Akustik,Ceren Gündoğdu,25733,turkish pop,39,35,Kalbimin Odalarından,2021-09-17,278871
Sorma,Ayşegül Aldinç,297677,turkish pop,51,42,Sorma / Benden Söylemesi,1991-05-30,233280
Kulaklarını Kapat,Stabil,542890,turkish hip hop,55,35,STANBUL,2024-11-08,165367
Mesele2,Stabil,542890,turkish hip hop,55,0,Stabil,2012-11-30,195213
Bilmeyen mi var ?,Stabil,542890,turkish hip hop,55,0,Bilmeyen mi var ?,2020-04-24,180674
Seke Seke,Stabil,542890,turkish hip hop,55,0,OKSMRN1,2021-07-30,131224
Sensiz Devam Edemem,Stabil,542890,turkish hip hop,55,0,OKSMRN2,2022-05-27,122026
Mesele,Stabil,542890,turkish hip hop,55,0,Stabil,2012-11-30,154070
O,Stabil,542890,turkish hip hop,55,0,O,2018-07-21,192094
Ben Kimim,Stabil,542890,turkish hip hop,55,0,Stabil,2012-11-30,167941
Gökyüzü,Stabil,542890,turkish hip hop,55,0,Gökyüzü,2018-09-17,181365
MATHILDA,Stabil,542890,turkish hip hop,55,0,OKSMRN1,2021-07-30,213926
İstanbul,Stabil,542890,turkish hip hop,55,47,STANBUL,2024-11-08,170333
Uyu,Stabil,542890,turkish hip hop,55,0,Stabil,2012-11-30,154853
Reenkarne,Stabil,542890,turkish hip hop,55,0,Reenkarne,2018-12-12,331281
Sokak Güvercini,Stabil,542890,turkish hip hop,55,51,Sokak Güvercini,2018-01-13,189691
Serseri Bey,Stabil,542890,turkish hip hop,55,0,Serseri Bey,2019-04-26,243391
Lavanta,Stabil,542890,turkish hip hop,55,0,Stabil,2012-11-30,91271
Neopolis Şekli,Stabil,542890,turkish hip hop,55,38,Neopolis Şekli,2023-03-10,171789
Fani,Emre Altuğ,388448,turkish pop,51,30,Fani,2025-01-24,168330
Ben Kalbimin Orta Yerine Seni Yazdım V2,Burak,4062,turkish pop,16,0,Ben Kalbimin Orta Yerine Seni Yazdım V2,2024-04-30,235891
Kapak Olsun,Defkhan,410533,turkish hip hop,54,56,Kapak Olsun,2023-07-28,147135
Ela Gözlüm,Cem Adrian,3757762,"arabesk, turkish pop",63,0,Essentials / Seçkiler 2,2016-01-15,243826
son defa,Gece Üç Gibi,1330,,13,18,son defa,2025-02-14,203346
UYUMADIM,Alpir,220,turkish hip hop,9,19,UYUMADIM,2024-12-13,198910
Canın Beni Çekti,Melike Şahin,1849859,"turkish pop, arabesk",65,3,AKKOR,2024-11-08,193621
Durma Yürüsene,Melike Şahin,1849859,"turkish pop, arabesk",65,3,AKKOR,2024-11-08,221842
Diva Yorgun,Melike Şahin,1849859,"turkish pop, arabesk",65,3,Diva Yorgun,2023-06-16,259703
Canın Beni Çekti,Melike Şahin,1849859,"turkish pop, arabesk",65,3,Canın Beni Çekti,2024-09-25,193621
Korkmasam Ölürdüm,Melike Şahin,1849859,"turkish pop, arabesk",65,0,AKKOR,2024-11-08,284754
Öpmem Lâzım,Melike Şahin,1849859,"turkish pop, arabesk",65,0,Merhem,2021-02-26,258677
Sanki Rüya,Birsen Tezer,220873,turkish pop,50,55,Kağıttan Kaptanlar,2023-04-28,222791
Medcezir,Levent Yüksel,391681,turkish pop,54,60,Med Cezir,1993-05-14,273920
Papatya,Hirai Zerdüş,309986,arabesk,59,58,Papatya,2019-05-10,188082
Hüznün Gemileri,Ekin Uzunlar,396960,"karadeniz folk, turkish pop, arabesk",53,59,Hüznün Gemileri,2018-11-01,286582
Harika,Ebru Gündeş,4182393,"arabesk, turkish pop",72,62,Evet,2008-09-25,198608
Havaalanı,Hande Yener,2135132,"turkish pop, t-pop",68,2,Teşekkürler,2011-01-01,225000
Seviyorsun,Hande Yener,2135132,"turkish pop, t-pop",68,1,"Hepsi Hit, Vol. 1",2016-06-06,219112
Bana Aşk Ver,Aynur Aydın,463482,"turkish pop, t-pop",50,1,Bana Aşk Ver,2017-12-08,188755
Aşkım (By Volga Tamöz),Bengü,1767479,"turkish pop, t-pop, arabesk",65,57,Dört Dörtlük,2011-06-08,200124
Telli Turnam,Musa Eroğlu,992207,"arabesk, karadeniz folk",56,40,Kavimler Kapısı Anadolu,1998-10-21,234466
Eda,Emre Fel,659556,"anatolian rock, turkish pop",61,50,Eda,2025-02-14,202409
Tatildeyim,Emre Altuğ,388448,turkish pop,51,25,Tatildeyim,2024-04-30,171289
Senden Güzeli Mi Var,Emre Fel,659556,"anatolian rock, turkish pop",61,56,VEDA TÜRKÜSÜ,2023-12-22,203914
Delalım,Akif Çekirge,11115,"oyun havasi, arabesk",45,30,Akif Çekirge Eşliğinde Şanlıurfa Asbap Geceleri ( Vol.1 ),2006,279680
Gir Kanıma,Harun Kolçak,451906,turkish pop,53,57,Beni Affet,1991-11-14,227000
Ben Değilim,Mela Bedel,123014,turkish pop,57,6,Ben Değilim,2024-11-15,222613
Ben Sana Gelemem,Mela Bedel,123014,turkish pop,57,7,Ben Sana Gelemem,2024-02-23,192475
KENDİNE İNAN,Mela Bedel,123014,turkish pop,57,42,Bölüm Sonu,2023-04-14,149849
Bu Gece Uyumamışam,Akif Çekirge,11115,"oyun havasi, arabesk",45,27,Akif Çekirge Eşliğinde Şanlıurfa Asbap Geceleri ( Vol.1 ),2006,237666
Hele Ninna,Yahya Çekirge,1558,"oyun havasi, arabesk",34,27,Akif Çekirge Eşliğinde Asbap Geceleri ( Vol.2 ),2005-03-01,201480
Kundurama Kum Doldu,Akif Çekirge,11115,"oyun havasi, arabesk",45,26,Akif Çekirge Eşliğinde Şanlıurfa Asbap Geceleri ( Vol.3 ),2008,168440
Bahçe Duvarından Aştım,İbocan,24324,oyun havasi,41,56,Aşkımsın Sen (Vay Gençliğim),2016-03-29,230199
Işıklı Yol,İzel,346876,"turkish pop, arabesk",54,65,Işıklı Yol,2007-06-01,264829
Bir Fotoğraf Karesinde,Rope,186960,"turkish hip hop, arabesk",50,42,Bir Fotoğraf Karesinde,2020-07-31,175500
Aleni Aleni,Volkan Konak,663106,"karadeniz folk, arabesk, turkish pop",56,63,Manolya,2015-04-22,235974
Yarim Yarim,Volkan Konak,663106,"karadeniz folk, arabesk, turkish pop",56,55,Mimoza,2009-01-26,263866
Göklerde Kartal Gibiydim,Volkan Konak,663106,"karadeniz folk, arabesk, turkish pop",56,46,Mimoza,2009-01-26,231800
Herkesin Bir Derdi Var (Cerrahpaşa),Volkan Konak,663106,"karadeniz folk, arabesk, turkish pop",56,52,Maranda,2003-12-17,256173
Deniz Üstü Köpürür,Cem Karaca,2015501,"anatolian rock, arabesk, turkish pop",57,44,"Anısına, Vol. 2",1998-05-04,249960
Farazi V Kayra - (Bir) Fotoğrafın Rüyası,,0,,0,0,Hayalet Islığı,,220380
Üç Kitap ve Naralar,,0,,0,0,Yağmurlu Bir Gün,,252145
Zorun Ne Sevgilim,İrem Derici,1553537,"turkish pop, t-pop",61,47,İki,2013-09-18,223686
Dünyanın En Güzel Kızı,Mavi Gri,1681202,turkish pop,61,62,Gök Mavi Yer Gri,2022-12-09,217750
Vazgeç Artık Rüyalarımdan,Mavi Gri,1681202,turkish pop,61,59,Vazgeç Artık Rüyalarımdan,2023-12-22,194500
O Ben Olamam,Mavi Gri,1681202,turkish pop,61,58,Gök Mavi Yer Gri,2022-12-09,319270
Aklımı Kaçırdım,Mavi Gri,1681202,turkish pop,61,60,İlkyaz Yağmuru,2018-05-25,184032
Ben Sende Yandım - Mavi,Mavi Gri,1681202,turkish pop,61,58,İlkyaz Yağmuru,2018-05-25,205961
İkili Delilik,Sezen Aksu,13986198,"arabesk, turkish pop",74,40,Bahane,2005-02-10,274160
Alev Alev,Feridun Düzağaç,837070,"anatolian rock, turkish pop",49,55,Orjinal Alt Yazılı,2013-03-11,266186
Şanıma İnanma,Sezen Aksu,13986198,"arabesk, turkish pop",74,44,Bahane,2005-02-10,235773
Ya Ya Ya Ya,Hande Yener,2135132,"turkish pop, t-pop",68,58,İki Deli,2015-12-11,176706
Bu Benim Hayatım,No.1,3632674,turkish hip hop,66,66,Bu Benim Hayatım,2015-09-12,139572
İçimde Dinmez Sızısın,Grup A1,1458,anatolian rock,12,28,Yeşil Gözler Sürmeli / İçimde Dinmez Sızısın,1979-05-11,269750
Seviyorum Delicesine,Ferdi Özbeğen,274779,"arabesk, anatolian rock, turkish pop",61,56,Seviyorum Delicesine,1986,201693
Dilek Taşı,Ferdi Özbeğen,274779,"arabesk, anatolian rock, turkish pop",61,51,Şarkılarım,1991-04-05,300426
Başkası Mı Var,Ferdi Özbeğen,274779,"arabesk, anatolian rock, turkish pop",61,49,Belki Bir Gün (Orijinal Plak Kayıtları),1985,222750
Ara Beni Lütfen,Kenan Doğulu,1248329,"turkish pop, t-pop",66,75,Festival,2006-06-13,279799
Keşke,Yalın,2487185,"turkish pop, t-pop",71,62,Bir Bakmışsın,2005-04-13,297430
Benden Adam Olmaz,Şehrin Azizleri,2234,anatolian rock,22,39,Benden Adam Olmaz,2018-11-15,231102
Dolunay,Reynmen,3191624,"turkish pop, turkish hip hop",62,56,RnBesk,2020-02-02,199022
Naber?,Hande Yener,2135132,"turkish pop, t-pop",68,45,Mükemmel,2014-06-02,198661
Unutamadım,Barış Manço,3052229,"anatolian rock, turkish pop, arabesk",63,53,"Mançoloji, Vol. 1",1999-02-23,267441
Güzel Kadın,Raviş,37031,,35,51,Güzel Kadın,2015-10-16,216771
Yabani,Aşkın Nur Yengi,831637,"turkish pop, arabesk",57,57,Haberci,1997-06-06,223840
Benimle Oynama,Burak Kut,201773,turkish pop,48,57,Benimle Oynama / Çılgınım,1994-04-29,256959
İkinci Bahar,Sezen Aksu,13986198,"arabesk, turkish pop",74,46,Firuze,1982-01-01,164080
Zor Kadın,Sertab Erener,2310274,turkish pop,68,53,Sertab Erener,1999-03-24,228826
Sen Banasın,Cihan Mürtezaoğlu,208138,turkish pop,51,49,Bitsin Bu Delilik,2016-09-30,254760
Denize Bıraksam,Göksel,1782533,turkish pop,63,53,Sen Orda Yoksun,2015-01-01,214144
